uc010pwa.1	ENSP00000355632
uc011cou.1	ENSP00000443492
uc009xzf.1	ENSP00000393275
uc011cqp.1	ENSP00000441732
uc002zzy.3	ENSP00000336630
uc002myn.2	ENSP00000351413
uc003wey.2	ENSP00000326804
uc011jaq.1	ENSP00000403070
uc003bej.2	ENSP00000345445
uc009yrl.2	ENSP00000435316
uc002qpk.2	ENSP00000472564
uc004ehn.2	ENSP00000468882
uc003qhn.2	ENSP00000340920
uc011lkc.1	ENSP00000399485
uc011kuy.1	ENSP00000417143
uc002mgu.3	ENSP00000416797
uc003vwr.1	ENSP00000247883
uc002dma.3	ENSP00000256797
uc009wmp.2	ENSP00000357874
uc003yhq.3	ENSP00000287022
uc010jgm.2	ENSP00000377932
uc003loq.1	ENSP00000265272
uc004etu.2	ENSP00000245838
uc002pai.2	ENSP00000336994
uc010xdg.1	ENSP00000462944
uc011gwy.1	ENSP00000405178
uc010waq.1	ENSP00000431165
uc002rrt.2	ENSP00000281961
uc001sqp.2	ENSP00000300145
uc003aii.1	ENSP00000402587
uc002gkv.2	ENSP00000226105
uc003bjn.3	ENSP00000379183
uc003avj.2	ENSP00000380044
uc002upo.2	ENSP00000338788
uc003ape.2	ENSP00000317674
uc003qwo.3	ENSP00000283309
uc001gsq.2	ENSP00000356419
uc002nqt.2	ENSP00000350418
uc002rgt.1	ENSP00000272341
uc004bhn.2	ENSP00000363286
uc003nqy.2	ENSP00000365620
uc001jfs.1	ENSP00000379027
uc010iku.2	ENSP00000378432
uc011ipg.1	ENSP00000401433
uc003xwr.2	ENSP00000379842
uc011ffv.1	ENSP00000365026
uc001imd.2	ENSP00000367952
uc011jgp.1	ENSP00000324222
uc002eks.1	ENSP00000456042
uc011dga.1	ENSP00000377193
uc003wwd.1	ENSP00000381298
uc010smk.1	ENSP00000438569
uc003nst.2	ENSP00000365431
uc002jdt.3	ENSP00000400986
uc002bwk.2	ENSP00000328327
uc003eiu.1	ENSP00000344749
uc001pzr.2	ENSP00000404683
uc001nxw.2	ENSP00000385751
uc002rbf.2	ENSP00000302159
uc003tym.1	ENSP00000458258
uc002mch.1	ENSP00000309561
uc002hok.3	ENSP00000225893
uc001hpk.2	ENSP00000272167
uc010ypl.1	ENSP00000398725
uc002erl.1	ENSP00000264009
uc011lhs.1	ENSP00000367733
uc003buy.1	ENSP00000373318
uc010jwx.2	ENSP00000386121
uc003lgc.1	ENSP00000444013
uc001zrx.1	ENSP00000308773
uc002zfh.1	ENSP00000383226
uc002acr.2	ENSP00000337761
uc001hun.1	ENSP00000321341
uc003wyj.3	ENSP00000430521
uc003ceb.2	ENSP00000419371
uc003hfw.2	ENSP00000310189
uc002bfd.3	ENSP00000335250
uc003xys.3	ENSP00000342626
uc010vdy.1	ENSP00000455473
uc001grf.3	ENSP00000356476
uc011goi.1	ENSP00000366345
uc001kux.1	ENSP00000359000
uc010zbf.1	ENSP00000439506
uc003gqm.1	ENSP00000334952
uc003jhh.2	ENSP00000409335
uc002ijp.2	ENSP00000340522
uc003bsi.2	ENSP00000342851
uc002vgc.3	ENSP00000350940
uc001ggp.2	ENSP00000286031
uc001qcu.2	ENSP00000351325
uc003jut.1	ENSP00000384313
uc002boz.2	ENSP00000394720
uc002giz.2	ENSP00000335611
uc002wfi.2	ENSP00000371036
uc003drv.2	ENSP00000377756
uc001tdf.2	ENSP00000448913
uc001wlz.2	ENSP00000380142
uc003sqa.2	ENSP00000297056
uc003dyw.2	ENSP00000420298
uc009vrd.2	ENSP00000414447
uc002flm.2	ENSP00000388320
uc004eak.1	ENSP00000444914
uc010mdv.2	ENSP00000338269
uc009xjp.1	ENSP00000389535
uc003gdu.2	ENSP00000339824
uc003fdi.2	ENSP00000417964
uc002upa.1	ENSP00000295113
uc003jsb.2	ENSP00000442734
uc002iol.1	ENSP00000350005
uc002czd.3	ENSP00000379845
uc003vbd.2	ENSP00000392775
uc003wtz.2	ENSP00000433663
uc002qwi.3	ENSP00000384604
uc001tjd.2	ENSP00000442549
uc002jti.2	ENSP00000391227
uc001new.2	ENSP00000384287
uc001mvq.1	ENSP00000436386
uc001jjd.2	ENSP00000378897
uc001gjt.2	ENSP00000356671
uc011jhp.1	ENSP00000373018
uc003ijw.3	ENSP00000310071
uc001skm.3	ENSP00000267116
uc001mwf.2	ENSP00000278360
uc001rek.2	ENSP00000261196
uc001tyv.2	ENSP00000288616
uc002fhm.2	ENSP00000345305
uc002jdz.2	ENSP00000401445
uc001nxe.2	ENSP00000399093
uc011ihv.1	ENSP00000365894
uc003qen.3	ENSP00000237305
uc010wjx.1	ENSP00000293493
uc001czx.2	ENSP00000474462
uc004dov.1	ENSP00000469959
uc003lbv.2	ENSP00000239926
uc010toq.1	ENSP00000451502
uc002fdo.2	ENSP00000377080
uc002kxl.2	ENSP00000269209
uc001pss.1	ENSP00000300692
uc011iwd.1	ENSP00000407538
uc011jzi.1	ENSP00000443593
uc010uvv.1	ENSP00000399232
uc003fli.1	ENSP00000328118
uc001rbn.2	ENSP00000320838
uc003dsr.2	ENSP00000424669
uc002mmb.1	ENSP00000380999
uc001waa.2	ENSP00000319690
uc001ohn.1	ENSP00000310406
uc002uza.1	ENSP00000376075
uc003ieq.2	ENSP00000373377
uc003csp.3	ENSP00000440286
uc002qaq.3	ENSP00000409597
uc001mbf.2	ENSP00000346916
uc004doc.3	ENSP00000470925
uc001jar.2	ENSP00000400433
uc004efb.2	ENSP00000362211
uc011asj.1	ENSP00000442791
uc001bgt.2	ENSP00000363736
uc010gzd.2	ENSP00000370678
uc010okm.1	ENSP00000361380
uc004fkv.1	ENSP00000471031
uc010ohp.1	ENSP00000235150
uc010zua.1	ENSP00000412305
uc003ldd.3	ENSP00000421288
uc004bzt.1	ENSP00000253008
uc009vrv.2	ENSP00000382666
uc010ida.1	ENSP00000420984
uc010qnr.1	ENSP00000360602
uc001kde.1	ENSP00000350823
uc002heo.1	ENSP00000269033
uc002zne.1	ENSP00000382669
uc002cjx.1	ENSP00000456702
uc003xos.2	ENSP00000220809
uc010zhm.1	ENSP00000471805
uc010ooo.1	ENSP00000442548
uc003ezy.3	ENSP00000417078
uc001muz.2	ENSP00000265651
uc002bjz.3	ENSP00000286744
uc001yww.1	ENSP00000382970
uc009vlk.1	ENSP00000367529
uc002keu.1	ENSP00000320116
uc001hnj.2	ENSP00000339976
uc002bdd.2	ENSP00000299518
uc003xsd.1	ENSP00000220676
uc002fyo.2	ENSP00000460607
uc011cdw.1	ENSP00000423286
uc004afx.1	ENSP00000366630
uc001ivu.3	ENSP00000354487
uc010mdi.2	ENSP00000297857
uc011buy.1	ENSP00000406334
uc001rty.2	ENSP00000447421
uc002bno.2	ENSP00000458024
uc002smq.1	ENSP00000377512
uc010fnz.2	ENSP00000201943
uc001fcq.2	ENSP00000357674
uc001dgt.2	ENSP00000359896
uc003fcq.1	ENSP00000420182
uc011gbf.1	ENSP00000393712
uc010qie.1	ENSP00000423896
uc011lgu.1	ENSP00000428256
uc010gor.2	ENSP00000381588
uc001flr.2	ENSP00000341692
uc003nez.1	ENSP00000367206
uc011dqi.1	ENSP00000401919
uc003vnw.1	ENSP00000420509
uc011aft.1	ENSP00000441772
uc002eyo.2	ENSP00000288071
uc010sdy.1	ENSP00000380358
uc002wua.2	ENSP00000439304
uc003ann.2	ENSP00000394466
uc010byw.2	ENSP00000456834
uc001van.1	ENSP00000309189
uc002bpo.2	ENSP00000416573
uc002jys.2	ENSP00000460136
uc002igp.1	ENSP00000053867
uc001jxm.2	ENSP00000286627
uc002wki.2	ENSP00000388550
uc001bed.2	ENSP00000383274
uc010brh.2	ENSP00000458135
uc010fjd.1	ENSP00000386361
uc003cpu.3	ENSP00000296144
uc001tgb.2	ENSP00000349862
uc011gdt.1	ENSP00000365040
uc004ehk.2	ENSP00000469989
uc010yif.1	ENSP00000342913
uc001ean.2	ENSP00000358759
uc010fwk.2	ENSP00000385636
uc001omw.1	ENSP00000227471
uc010vhx.1	ENSP00000473054
uc001cnw.2	ENSP00000435596
uc002sua.1	ENSP00000322860
uc003omp.1	ENSP00000376885
uc001inh.2	ENSP00000319208
uc003xlb.2	ENSP00000429932
uc002cru.2	ENSP00000371715
uc002nlw.2	ENSP00000384572
uc002blv.1	ENSP00000378026
uc004eer.2	ENSP00000262753
uc002yln.2	ENSP00000305682
uc011jyo.1	ENSP00000385227
uc002coa.2	ENSP00000456800
uc001uwz.2	ENSP00000339123
uc003hbc.2	ENSP00000264218
uc002uel.2	ENSP00000282074
uc001oxr.3	ENSP00000384126
uc001alw.1	ENSP00000318772
uc003bbn.2	ENSP00000215980
uc002yfx.1	ENSP00000359020
uc003epp.3	ENSP00000391955
uc011eaw.1	ENSP00000275169
uc002fgx.2	ENSP00000454435
uc001qpy.3	ENSP00000415903
uc001stx.1	ENSP00000229134
uc001ciz.2	ENSP00000361536
uc010dtv.1	ENSP00000470561
uc002kod.1	ENSP00000383401
uc002xuv.1	ENSP00000354966
uc003afl.2	ENSP00000319361
uc002ftz.3	ENSP00000382742
uc001dot.2	ENSP00000359368
uc002yrf.2	ENSP00000343289
uc001hfm.2	ENSP00000375790
uc001noy.2	ENSP00000381954
uc010hne.2	ENSP00000420213
uc011kkw.1	ENSP00000425877
uc003bxd.2	ENSP00000170447
uc002ufi.1	ENSP00000376419
uc003bxv.1	ENSP00000254508
uc002jqs.2	ENSP00000334100
uc002mgv.3	ENSP00000160298
uc010aez.1	ENSP00000403401
uc001ldh.3	ENSP00000450962
uc002hgg.2	ENSP00000351015
uc003lov.3	ENSP00000425984
uc001vtu.3	ENSP00000389399
uc001zwn.3	ENSP00000370381
uc003mba.2	ENSP00000427975
uc010xtu.1	ENSP00000411569
uc011cwy.1	ENSP00000427596
uc001ubb.2	ENSP00000267205
uc003oeb.2	ENSP00000404403
uc010hwq.2	ENSP00000348161
uc003cfi.1	ENSP00000306920
uc002hvc.2	ENSP00000377616
uc002pzz.2	ENSP00000439211
uc001atr.2	ENSP00000398337
uc002fww.2	ENSP00000225538
uc002rlm.1	ENSP00000296102
uc002avv.1	ENSP00000320084
uc010xpd.1	ENSP00000411498
uc002nqw.3	ENSP00000413660
uc001znu.3	ENSP00000453657
uc001cdr.2	ENSP00000361935
uc002czu.2	ENSP00000348799
uc011gwk.1	ENSP00000391507
uc004fvs.2	ENSP00000383340
uc010hze.2	ENSP00000414136
uc002nnc.3	ENSP00000443256
uc003tix.2	ENSP00000384955
uc010abo.2	ENSP00000369191
uc002cmy.2	ENSP00000215539
uc002pex.2	ENSP00000291294
uc002yaz.2	ENSP00000360040
uc010fwe.1	ENSP00000394333
uc002srn.2	ENSP00000237455
uc002tzv.2	ENSP00000374409
uc010trv.1	ENSP00000442850
uc011jgw.1	ENSP00000365654
uc002ixf.1	ENSP00000463733
uc004bjz.2	ENSP00000363089
uc001rez.2	ENSP00000229314
uc002xys.2	ENSP00000344014
uc001tsa.1	ENSP00000261726
uc003hhi.2	ENSP00000296029
uc010skv.1	ENSP00000401060
uc009zap.1	ENSP00000376584
uc001ckf.2	ENSP00000316999
uc001pzq.1	ENSP00000329689
uc001npx.2	ENSP00000338692
uc010vau.1	ENSP00000406013
uc001cto.2	ENSP00000287727
uc010lix.2	ENSP00000249270
uc002zdp.2	ENSP00000333624
uc001nwi.2	ENSP00000306490
uc002snw.2	ENSP00000272324
uc003zlj.2	ENSP00000370297
uc011loi.1	ENSP00000439806
uc001sab.2	ENSP00000369349
uc002xps.1	ENSP00000344586
uc003nbr.2	ENSP00000008686
uc004etl.2	ENSP00000414253
uc010joz.2	ENSP00000422871
uc010std.1	ENSP00000377175
uc002ejs.2	ENSP00000334998
uc011bhd.1	ENSP00000373189
uc011alt.1	ENSP00000441358
uc003ysw.2	ENSP00000429499
uc003uob.2	ENSP00000352348
uc002lxz.2	ENSP00000347583
uc003nag.1	ENSP00000368655
uc003iwv.1	ENSP00000424935
uc010sba.1	ENSP00000433971
uc001ixo.1	ENSP00000444429
uc002lmt.2	ENSP00000441823
uc003tup.2	ENSP00000378741
uc003wyr.2	ENSP00000440900
uc003ftj.2	ENSP00000354429
uc011kbx.1	ENSP00000392878
uc001xui.2	ENSP00000238561
uc001dwj.2	ENSP00000358979
uc004anb.2	ENSP00000365522
uc001ows.2	ENSP00000434412
uc002boy.2	ENSP00000394720
uc011hgm.1	ENSP00000396587
uc002ufg.2	ENSP00000352782
uc004cnb.2	ENSP00000360528
uc002idv.2	ENSP00000468636
uc002vpr.3	ENSP00000283937
uc002ewd.2	ENSP00000381304
uc002alt.2	ENSP00000384315
uc011jcy.1	ENSP00000366078
uc002flj.2	ENSP00000327968
uc011jiz.1	ENSP00000392669
uc003vhl.3	ENSP00000377125
uc009vrg.2	ENSP00000363514
uc010bmh.2	ENSP00000351392
uc001efv.1	ENSP00000347672
uc003eho.2	ENSP00000296181
uc002ghf.3	ENSP00000314949
uc004fbo.2	ENSP00000471479
uc003pmt.2	ENSP00000358487
uc003nwr.2	ENSP00000379229
uc011lvl.1	ENSP00000286398
uc002dru.2	ENSP00000324792
uc001wmn.1	ENSP00000315112
uc001qnq.1	ENSP00000009180
uc001xvt.2	ENSP00000261304
uc009wty.2	ENSP00000376027
uc001rad.2	ENSP00000379653
uc001zng.1	ENSP00000249749
uc003uhb.1	ENSP00000343027
uc010cot.2	ENSP00000458062
uc002ked.2	ENSP00000376150
uc003nvq.2	ENSP00000365065
uc010nim.1	ENSP00000471015
uc011hhu.1	ENSP00000393254
uc003ubb.2	ENSP00000289473
uc001ttf.1	ENSP00000395861
uc002hwu.1	ENSP00000246635
uc001jbr.3	ENSP00000298295
uc003adk.2	ENSP00000334738
uc010pnw.1	ENSP00000356527
uc003jqo.2	ENSP00000427533
uc001rel.2	ENSP00000261196
uc002ity.3	ENSP00000285273
uc002uha.1	ENSP00000386415
uc002qjk.1	ENSP00000394343
uc002wbv.2	ENSP00000384259
uc003kyz.2	ENSP00000397946
uc002yvj.2	ENSP00000315700
uc002aqx.2	ENSP00000342101
uc010iin.1	ENSP00000426630
uc011gpq.1	ENSP00000447214
uc003blb.1	ENSP00000216061
uc010jyi.2	ENSP00000417101
uc003xxe.2	ENSP00000350512
uc001srb.1	ENSP00000258123
uc011hqb.1	ENSP00000404228
uc010rjw.1	ENSP00000304704
uc002rqh.2	ENSP00000441606
uc001uxn.2	ENSP00000342267
uc002let.2	ENSP00000381470
uc002rvm.2	ENSP00000386307
uc002ktu.1	ENSP00000462313
uc004dwf.2	ENSP00000353408
uc010rqm.1	ENSP00000439762
uc002fdl.1	ENSP00000455601
uc001xcp.2	ENSP00000452336
uc003knv.2	ENSP00000282992
uc011mbx.1	ENSP00000469873
uc002vkp.2	ENSP00000379964
uc010nps.2	ENSP00000399739
uc001cam.1	ENSP00000362224
uc001xdo.2	ENSP00000378597
uc003wyq.2	ENSP00000440900
uc001bzj.1	ENSP00000362306
uc002vni.2	ENSP00000375918
uc001uwk.2	ENSP00000417510
uc001drw.2	ENSP00000307107
uc002kcq.1	ENSP00000463352
uc002ryh.2	ENSP00000384810
uc003gfc.2	ENSP00000426503
uc003awj.2	ENSP00000216068
uc004fuo.3	ENSP00000372484
uc001kdb.1	ENSP00000361164
uc003whk.2	ENSP00000315474
uc002ijn.2	ENSP00000344068
uc003iig.2	ENSP00000426649
uc003vhj.1	ENSP00000265440
uc001yuy.2	ENSP00000381096
uc003uje.2	ENSP00000344831
uc003wix.1	ENSP00000297532
uc002mqc.2	ENSP00000253031
uc011luh.1	ENSP00000405909
uc003hgm.1	ENSP00000295890
uc009yte.2	ENSP00000298223
uc001kqx.1	ENSP00000325296
uc010emm.2	ENSP00000263276
uc003ezz.3	ENSP00000309296
uc004ffk.2	ENSP00000244096
uc001noh.2	ENSP00000300151
uc003spu.2	ENSP00000317289
uc001hni.1	ENSP00000375754
uc003knu.2	ENSP00000403461
uc011fir.1	ENSP00000364687
uc001rav.2	ENSP00000350698
uc001pod.3	ENSP00000437761
uc003wob.1	ENSP00000251527
uc002jmd.1	ENSP00000307821
uc010eyh.2	ENSP00000384081
uc011erz.1	ENSP00000447831
uc003kcg.3	ENSP00000425118
uc002zwu.1	ENSP00000248996
uc002smr.2	ENSP00000387016
uc010yvu.1	ENSP00000386737
uc001gqt.3	ENSP00000355299
uc003azh.2	ENSP00000349658
uc002hpz.2	ENSP00000345060
uc001yqr.2	ENSP00000446707
uc001fnw.1	ENSP00000349474
uc001mrt.2	ENSP00000379309
uc002gek.2	ENSP00000254868
uc009vud.1	ENSP00000449003
uc001oax.3	ENSP00000164139
uc003jph.1	ENSP00000303394
uc010fee.2	ENSP00000398305
uc003qsg.2	ENSP00000446252
uc003hom.2	ENSP00000295488
uc011bvs.1	ENSP00000438888
uc002tiu.2	ENSP00000376893
uc001bmh.1	ENSP00000363320
uc010xdy.1	ENSP00000440731
uc003xab.2	ENSP00000289820
uc001wue.2	ENSP00000438319
uc010vpn.1	ENSP00000456829
uc010rqc.1	ENSP00000434429
uc011ceg.1	ENSP00000209668
uc002lwo.2	ENSP00000334853
uc003lka.1	ENSP00000430024
uc001gbu.2	ENSP00000294794
uc002efr.2	ENSP00000299191
uc002rgz.2	ENSP00000325136
uc002tpa.2	ENSP00000347240
uc003aoz.2	ENSP00000249066
uc010vrr.1	ENSP00000382659
uc011iny.1	ENSP00000395436
uc002ytb.1	ENSP00000382301
uc001mqy.2	ENSP00000281268
uc001ifk.2	ENSP00000424205
uc001zxf.2	ENSP00000373553
uc002ilz.2	ENSP00000324100
uc004bhu.2	ENSP00000363251
uc002zhi.2	ENSP00000347665
uc003wwp.2	ENSP00000297324
uc003zdp.1	ENSP00000434593
uc003cxr.2	ENSP00000333266
uc002bfk.1	ENSP00000453347
uc001sas.2	ENSP00000307014
uc001iop.2	ENSP00000367030
uc004axv.1	ENSP00000364260
uc002psp.1	ENSP00000375691
uc001ufe.2	ENSP00000366070
uc001iqu.1	ENSP00000366304
uc003kui.3	ENSP00000274473
uc001vxj.2	ENSP00000381111
uc001qpz.2	ENSP00000380013
uc010fkj.1	ENSP00000386822
uc003hvs.2	ENSP00000429350
uc002sam.1	ENSP00000295025
uc011kbj.1	ENSP00000402803
uc001unq.3	ENSP00000255305
uc003ltg.2	ENSP00000429891
uc002pvi.1	ENSP00000324181
uc002yyk.1	ENSP00000381699
uc011bnw.1	ENSP00000385292
uc001axe.1	ENSP00000364921
uc003apx.2	ENSP00000216200
uc001gah.2	ENSP00000390558
uc002dfp.2	ENSP00000455041
uc010cfh.2	ENSP00000304440
uc003xgb.1	ENSP00000337985
uc010zpo.1	ENSP00000371323
uc001sbp.2	ENSP00000319684
uc011ino.1	ENSP00000393712
uc010mao.2	ENSP00000430728
uc004eaa.1	ENSP00000362824
uc001ofs.2	ENSP00000309629
uc002kkt.3	ENSP00000373072
uc011eyu.1	ENSP00000365666
uc010fek.2	ENSP00000386617
uc003ukq.2	ENSP00000443476
uc010wwz.1	ENSP00000448540
uc003ylq.2	ENSP00000423559
uc002hdy.3	ENSP00000225388
uc003kyc.2	ENSP00000296877
uc001lpv.2	ENSP00000407586
uc003olz.1	ENSP00000342260
uc001vmz.2	ENSP00000267287
uc001sdf.3	ENSP00000390304
uc009wth.2	ENSP00000357053
uc001zvz.2	ENSP00000346786
uc003qed.3	ENSP00000347294
uc001ohu.2	ENSP00000440329
uc004bvi.2	ENSP00000361856
uc001zuk.2	ENSP00000340644
uc003oyt.2	ENSP00000360299
uc001vjq.2	ENSP00000366819
uc002vaz.3	ENSP00000384198
uc002sri.3	ENSP00000323659
uc001aog.2	ENSP00000294401
uc003jvu.3	ENSP00000422121
uc001lod.2	ENSP00000339093
uc003lya.1	ENSP00000385433
uc002fpe.3	ENSP00000451605
uc009zfr.2	ENSP00000470828
uc011izh.1	ENSP00000363817
uc003bbr.3	ENSP00000379704
uc002tps.2	ENSP00000259253
uc003ilk.3	ENSP00000423510
uc004ems.1	ENSP00000400539
uc009vmw.2	ENSP00000444877
uc010qsq.1	ENSP00000376635
uc002syd.1	ENSP00000264972
uc002dnb.2	ENSP00000289968
uc002oza.3	ENSP00000291182
uc002cvl.1	ENSP00000344392
uc002lrl.1	ENSP00000324856
uc002jpi.3	ENSP00000405536
uc001onc.2	ENSP00000315774
uc001ukz.1	ENSP00000204726
uc003ujf.1	ENSP00000265728
uc001iob.2	ENSP00000367356
uc003lhj.1	ENSP00000367366
uc001lev.1	ENSP00000381302
uc001sgn.3	ENSP00000312679
uc002nai.1	ENSP00000470733
uc003als.2	ENSP00000383108
uc001bfx.1	ENSP00000166244
uc001sjp.1	ENSP00000257940
uc010dpb.2	ENSP00000392614
uc001fpd.2	ENSP00000357223
uc010sut.1	ENSP00000446720
uc002abu.3	ENSP00000453176
uc010pzr.1	ENSP00000391200
uc003nel.2	ENSP00000367359
uc001yky.1	ENSP00000443641
uc002xqs.2	ENSP00000361486
uc001ewn.2	ENSP00000357922
uc003xps.2	ENSP00000303423
uc001lrz.2	ENSP00000380566
uc011cgi.1	ENSP00000317768
uc004etn.2	ENSP00000414253
uc001wpm.2	ENSP00000382327
uc010snd.1	ENSP00000448051
uc003cfr.3	ENSP00000395558
uc003oqt.1	ENSP00000384203
uc001vbq.2	ENSP00000437737
uc004ftb.2	ENSP00000284856
uc011lgx.1	ENSP00000414657
uc001eni.2	ENSP00000464212
uc003ehl.3	ENSP00000232607
uc001jke.1	ENSP00000363019
uc011fcf.1	ENSP00000414063
uc003nqg.2	ENSP00000365817
uc003otg.2	ENSP00000377669
uc011ajz.1	ENSP00000384291
uc002qxa.2	ENSP00000252804
uc002gqv.1	ENSP00000379156
uc010wpi.1	ENSP00000439591
uc003gjc.2	ENSP00000372042
uc001spi.2	ENSP00000448500
uc001ryk.2	ENSP00000348668
uc003urt.2	ENSP00000401269
uc010wqz.1	ENSP00000317337
uc010tti.1	ENSP00000394502
uc001xei.3	ENSP00000450749
uc003gya.3	ENSP00000264313
uc003dno.2	ENSP00000354340
uc001rxx.2	ENSP00000449742
uc011ffh.1	ENSP00000211379
uc001avm.3	ENSP00000365198
uc003zym.2	ENSP00000367227
uc001zpz.1	ENSP00000249647
uc011azm.1	ENSP00000415371
uc011flk.1	ENSP00000415015
uc010gxq.1	ENSP00000385616
uc010xwe.1	ENSP00000469525
uc003dzj.1	ENSP00000311035
uc001qom.2	ENSP00000229238
uc001lgj.2	ENSP00000357980
uc002wbi.1	ENSP00000264042
uc010ple.1	ENSP00000441187
uc001pcx.2	ENSP00000435039
uc010zjh.1	ENSP00000397646
uc010tyn.1	ENSP00000376349
uc003gdv.2	ENSP00000305653
uc001cwk.1	ENSP00000318185
uc001qjl.2	ENSP00000380379
uc002uqz.1	ENSP00000429697
uc002hzq.2	ENSP00000377415
uc011gow.1	ENSP00000416731
uc010mlr.1	ENSP00000429637
uc011klf.1	ENSP00000395340
uc001pbg.1	ENSP00000280245
uc003hxc.1	ENSP00000369365
uc011iak.1	ENSP00000401919
uc003tfe.2	ENSP00000400749
uc011mhg.1	ENSP00000370566
uc001rul.1	ENSP00000448056
uc002gid.3	ENSP00000345675
uc003khu.2	ENSP00000296674
uc001ncw.2	ENSP00000433372
uc002dme.2	ENSP00000305355
uc002yqf.2	ENSP00000349903
uc003mkh.3	ENSP00000349168
uc003qmu.1	ENSP00000253339
uc004ekn.2	ENSP00000427494
uc009yfk.2	ENSP00000437041
uc010dni.2	ENSP00000282030
uc002pxa.2	ENSP00000345907
uc002rtp.2	ENSP00000445107
uc001dlr.3	ENSP00000359596
uc010xdc.1	ENSP00000349282
uc003uxh.2	ENSP00000403474
uc009xuo.2	ENSP00000360383
uc009ywr.2	ENSP00000444010
uc003pdt.2	ENSP00000320413
uc002usb.2	ENSP00000336894
uc002loc.1	ENSP00000315047
uc002hyr.2	ENSP00000377459
uc011fyj.1	ENSP00000397956
uc001svx.2	ENSP00000258111
uc001mnk.3	ENSP00000368785
uc001frh.2	ENSP00000418130
uc004dkf.1	ENSP00000471507
uc001tis.2	ENSP00000376655
uc003nqu.2	ENSP00000365668
uc011iik.1	ENSP00000365847
uc002ywp.2	ENSP00000328676
uc010fsl.1	ENSP00000387223
uc003pjv.2	ENSP00000424874
uc002rzf.2	ENSP00000393953
uc002uoq.1	ENSP00000331574
uc011bqh.1	ENSP00000418054
uc002hlj.1	ENSP00000465568
uc003hna.2	ENSP00000316329
uc010wrc.1	ENSP00000376390
uc002bng.3	ENSP00000456281
uc002gjq.2	ENSP00000456335
uc010etv.2	ENSP00000469983
uc002sfx.2	ENSP00000386608
uc010ymf.1	ENSP00000385218
uc001dvh.3	ENSP00000359090
uc010xje.1	ENSP00000437805
uc004aky.3	ENSP00000365782
uc003yrk.2	ENSP00000429064
uc004dfy.2	ENSP00000340684
uc002hvo.1	ENSP00000347823
uc001daj.1	ENSP00000360188
uc010zzt.1	ENSP00000360126
uc001hiw.1	ENSP00000355961
uc004cvy.2	ENSP00000347258
uc002qey.2	ENSP00000460669
uc003auk.1	ENSP00000384618
uc002vjz.1	ENSP00000386399
uc001tlh.3	ENSP00000448536
uc011glp.1	ENSP00000408146
uc002ixk.1	ENSP00000284116
uc001psm.2	ENSP00000278949
uc002fvc.1	ENSP00000331545
uc001fhr.2	ENSP00000357369
uc004cvj.2	ENSP00000369976
uc003jwh.2	ENSP00000303134
uc003cef.2	ENSP00000389577
uc003esq.2	ENSP00000353775
uc001tzq.2	ENSP00000330696
uc003xdl.2	ENSP00000351520
uc002vak.1	ENSP00000303939
uc002ylz.2	ENSP00000284981
uc001kkv.2	ENSP00000360295
uc003byg.2	ENSP00000400824
uc009was.2	ENSP00000432592
uc002uyd.3	ENSP00000194530
uc001was.1	ENSP00000406288
uc002shr.2	ENSP00000396070
uc002tpb.2	ENSP00000387002
uc011loq.1	ENSP00000326500
uc001jal.2	ENSP00000347942
uc009wbb.1	ENSP00000360024
uc009ywu.2	ENSP00000389989
uc004djf.1	ENSP00000469394
uc001zcq.2	ENSP00000382890
uc010ltk.2	ENSP00000410249
uc002uiq.2	ENSP00000272732
uc011kwa.1	ENSP00000385464
uc003chy.2	ENSP00000311713
uc011agk.1	ENSP00000441344
uc004duk.2	ENSP00000364093
uc010vke.1	ENSP00000411594
uc003jmb.2	ENSP00000346148
uc003fqw.2	ENSP00000348925
uc011jyb.1	ENSP00000395655
uc010hsk.2	ENSP00000296210
uc002nbl.2	ENSP00000321821
uc001ukk.1	ENSP00000343339
uc002iua.2	ENSP00000268919
uc010uxv.1	ENSP00000390276
uc001cyo.2	ENSP00000354458
uc001ztk.1	ENSP00000452968
uc002ioh.2	ENSP00000377033
uc011kly.1	ENSP00000418993
uc003csx.2	ENSP00000351338
uc002tsw.3	ENSP00000311500
uc009xlf.1	ENSP00000443610
uc001ivk.2	ENSP00000364467
uc002bdz.2	ENSP00000453519
uc001qqn.3	ENSP00000438363
uc003byh.1	ENSP00000400824
uc003xon.3	ENSP00000380136
uc010bvx.2	ENSP00000439970
uc002mwl.3	ENSP00000416149
uc004bsb.2	ENSP00000362373
uc010xod.1	ENSP00000409386
uc001nnb.2	ENSP00000431688
uc001qga.2	ENSP00000380861
uc011jyn.1	ENSP00000258743
uc003xwu.2	ENSP00000430691
uc002pwm.2	ENSP00000472090
uc003anp.2	ENSP00000413697
uc001gxc.2	ENSP00000356256
uc010vsh.1	ENSP00000390450
uc002nva.3	ENSP00000446271
uc002vqn.2	ENSP00000393618
uc010kes.2	ENSP00000376269
uc001lpq.1	ENSP00000380738
uc002hdz.1	ENSP00000261716
uc002snf.2	ENSP00000420176
uc002uzo.2	ENSP00000316224
uc011aut.1	ENSP00000441186
uc003uds.1	ENSP00000460815
uc010tjr.1	ENSP00000440374
uc009zmu.2	ENSP00000369172
uc002pfi.2	ENSP00000393978
uc010zit.1	ENSP00000409689
uc009you.1	ENSP00000389124
uc011lsd.1	ENSP00000412956
